期次,開獎日期,週,天干,地支,節氣,球1,球2,球3,球4,球5,球6
95001.0,2006/1/2,,,,,6.0,15.0,22.0,25.0,35.0,41.0
95002.0,2006/1/5,,,,,18.0,23.0,26.0,38.0,39.0,48.0
95003.0,2006/1/9,,,,,8.0,20.0,22.0,39.0,45.0,46.0
95004.0,2006/1/12,,,,,7.0,11.0,22.0,24.0,28.0,30.0
95005.0,2006/1/16,,,,,4.0,12.0,15.0,19.0,26.0,31.0
95006.0,2006/1/19,,,,,3.0,11.0,18.0,20.0,21.0,26.0
95007.0,2006/1/23,,,,,1.0,11.0,16.0,21.0,23.0,40.0
95008.0,2006/1/26,,,,,10.0,29.0,30.0,32.0,43.0,47.0
95009.0,2006/1/30,,,,,4.0,5.0,13.0,26.0,32.0,42.0
95010.0,2006/2/2,,,,,2.0,8.0,12.0,20.0,26.0,33.0
95011.0,2006/2/6,,,,,11.0,15.0,18.0,25.0,29.0,49.0
95012.0,2006/2/9,,,,,12.0,21.0,34.0,37.0,38.0,39.0
95013.0,2006/2/13,,,,,3.0,15.0,21.0,23.0,36.0,49.0
95014.0,2006/2/16,,,,,5.0,6.0,18.0,23.0,26.0,29.0
95015.0,2006/2/20,,,,,2.0,14.0,18.0,21.0,37.0,43.0
95016.0,2006/2/23,,,,,7.0,12.0,16.0,17.0,19.0,33.0
95017.0,2006/2/27,,,,,9.0,17.0,18.0,27.0,36.0,42.0
95018.0,2006/3/2,,,,,5.0,8.0,24.0,31.0,32.0,39.0
95019.0,2006/3/6,,,,,5.0,7.0,9.0,15.0,31.0,34.0
95020.0,2006/3/9,,,,,6.0,13.0,15.0,17.0,18.0,22.0
95021.0,2006/3/13,,,,,4.0,21.0,25.0,35.0,39.0,42.0
95022.0,2006/3/16,,,,,3.0,9.0,18.0,42.0,45.0,46.0
95023.0,2006/3/20,,,,,12.0,28.0,30.0,40.0,47.0,49.0
95024.0,2006/3/23,,,,,7.0,23.0,28.0,29.0,38.0,46.0
95025.0,2006/3/28,,,,,5.0,8.0,9.0,15.0,29.0,45.0
95026.0,2006/3/30,,,,,12.0,17.0,26.0,31.0,35.0,48.0
95027.0,2006/4/4,,,,,6.0,10.0,11.0,32.0,34.0,39.0
95028.0,2006/4/6,,,,,5.0,23.0,36.0,38.0,40.0,42.0
95029.0,2006/4/11,,,,,8.0,10.0,16.0,22.0,37.0,38.0
95030.0,2006/4/13,,,,,1.0,23.0,25.0,37.0,39.0,45.0
95031.0,2006/4/18,,,,,4.0,6.0,14.0,16.0,20.0,41.0
95032.0,2006/4/20,,,,,9.0,13.0,15.0,27.0,34.0,42.0
95033.0,2006/4/25,,,,,3.0,9.0,19.0,40.0,44.0,49.0
95034.0,2006/4/27,,,,,9.0,12.0,30.0,33.0,42.0,49.0
95035.0,2006/5/2,,,,,3.0,16.0,24.0,25.0,40.0,43.0
95036.0,2006/5/4,,,,,2.0,3.0,19.0,26.0,27.0,41.0
95037.0,2006/5/9,,,,,5.0,8.0,18.0,26.0,38.0,42.0
95038.0,2006/5/11,,,,,2.0,12.0,19.0,26.0,34.0,46.0
95039.0,2006/5/16,,,,,8.0,20.0,35.0,36.0,45.0,46.0
