´Á¸¹,¶}¼ú¤é´Á,¶g,¤Ñ¤z,¦a¤ä,¸`®ð,²y¸¹,³æÂù,©M­È,§¡­È,¦P§À
096001,2007/1/1,,,,,09,11,27,28,38
096002,2007/1/2,,,,,02,12,33,36,37
096003,2007/1/3,,,,,22,23,27,29,30
096004,2007/1/4,,,,,03,09,23,32,39
096005,2007/1/5,,,,,09,12,13,15,26
096006,2007/1/8,,,,,08,11,13,24,39
096007,2007/1/9,,,,,05,08,14,17,28
096008,2007/1/10,,,,,05,30,34,35,38
096009,2007/1/11,,,,,07,15,18,20,37
096010,2007/1/12,,,,,06,21,23,26,33
096011,2007/1/15,,,,,01,13,15,20,25
096012,2007/1/16,,,,,06,13,27,31,32
096013,2007/1/17,,,,,11,25,26,27,30
096014,2007/1/18,,,,,10,15,20,22,28
096015,2007/1/19,,,,,10,11,17,21,38
096016,2007/1/22,,,,,10,13,15,28,39
096017,2007/1/23,,,,,07,17,24,30,39
096018,2007/1/24,,,,,03,04,15,23,34
096019,2007/1/25,,,,,08,10,14,21,24
096020,2007/1/26,,,,,06,08,10,36,37
096021,2007/1/29,,,,,03,08,11,17,38
096022,2007/1/30,,,,,05,10,12,15,27
096023,2007/1/31,,,,,03,04,15,29,34
096024,2007/2/1,,,,,13,18,25,26,36
096025,2007/2/2,,,,,06,11,12,15,35
096026,2007/2/5,,,,,03,16,19,20,31
096027,2007/2/6,,,,,02,13,14,29,39
096028,2007/2/7,,,,,07,11,23,32,35
096029,2007/2/8,,,,,05,10,31,37,39
096030,2007/2/9,,,,,07,16,20,25,27
096031,2007/2/12,,,,,13,15,16,23,34
096032,2007/2/13,,,,,02,22,28,29,34
096033,2007/2/14,,,,,01,15,20,23,28
096034,2007/2/15,,,,,06,24,27,28,33
096035,2007/2/16,,,,,24,28,29,32,37
096036,2007/2/19,,,,,09,12,24,34,37
096037,2007/2/20,,,,,04,06,17,31,36
096038,2007/2/21,,,,,08,18,20,32,34
096039,2007/2/22,,,,,09,17,20,21,37
096040,2007/2/23,,,,,09,12,16,19,25
096041,2007/2/26,,,,,06,20,23,25,28
096042,2007/2/27,,,,,09,12,19,23,34
096043,2007/2/28,,,,,09,11,21,22,38
096044,2007/3/1,,,,,02,03,12,18,31
096045,2007/3/2,,,,,07,22,23,33,37
