期號,開獎日期,球1,球2,球3,球4,球5
96001,39083,9,11,27,28,38
96002,39084,2,12,33,36,37
96003,39085,22,23,27,29,30
96004,39086,3,9,23,32,39
96005,39087,9,12,13,15,26
96006,39090,8,11,13,24,39
96007,39091,5,8,14,17,28
96008,39092,5,30,34,35,38
96009,39093,7,15,18,20,37
96010,39094,6,21,23,26,33
96011,39097,1,13,15,20,25
96012,39098,6,13,27,31,32
96013,39099,11,25,26,27,30
96014,39100,10,15,20,22,28
96015,39101,10,11,17,21,38
96016,39104,10,13,15,28,39
96017,39105,7,17,24,30,39
96018,39106,3,4,15,23,34
96019,39107,8,10,14,21,24
96020,39108,6,8,10,36,37
96021,39111,3,8,11,17,38
96022,39112,5,10,12,15,27
96023,39113,3,4,15,29,34
96024,39114,13,18,25,26,36
96025,39115,6,11,12,15,35
96026,39118,3,16,19,20,31
96027,39119,2,13,14,29,39
96028,39120,7,11,23,32,35
96029,39121,5,10,31,37,39
96030,39122,7,16,20,25,27
96031,39125,13,15,16,23,34
96032,39126,2,22,28,29,34
96033,39127,1,15,20,23,28
96034,39128,6,24,27,28,33
96035,39129,24,28,29,32,37
96036,39132,9,12,24,34,37
96037,39133,4,6,17,31,36
96038,39134,8,18,20,32,34
96039,39135,9,17,20,21,37
96040,39136,9,12,16,19,25
96041,39139,6,20,23,25,28
96042,39140,9,12,19,23,34
96043,39141,9,11,21,22,38
96044,39142,2,3,12,18,31
96045,39143,7,22,23,33,37
96046,39146,5,11,19,21,25
96047,39147,12,16,17,19,34
96048,39148,2,12,19,30,34
96049,39149,7,11,20,31,34
96050,39150,2,17,30,31,38
96051,39153,8,15,25,27,38
96052,39154,6,9,16,18,22
96053,39155,6,9,16,37,39
96054,39156,1,7,21,27,33
96055,39157,1,2,18,26,38
96056,39160,5,20,24,28,39
96057,39161,2,10,14,18,22
96058,39162,6,14,34,37,38
96059,39163,7,25,26,34,36
96060,39164,12,19,20,29,32
96061,39167,26,27,32,33,36
96062,39168,11,20,36,37,38
96063,39169,9,25,28,34,37
96064,39170,8,22,23,27,29
96065,39171,6,19,22,33,37
96066,39174,1,7,21,33,35
96067,39175,10,11,13,29,31
96068,39176,1,19,30,34,35
96069,39177,7,21,22,23,36
96070,39178,4,7,12,33,34
