期號,開獎日期,週,天干,地支,節氣,球1,球2,球3,球4,球5
96001.0,2007/1/1,,,,,9.0,11.0,27.0,28.0,38.0
96002.0,2007/1/2,,,,,2.0,12.0,33.0,36.0,37.0
96003.0,2007/1/3,,,,,22.0,23.0,27.0,29.0,30.0
96004.0,2007/1/4,,,,,3.0,9.0,23.0,32.0,39.0
96005.0,2007/1/5,,,,,9.0,12.0,13.0,15.0,26.0
96006.0,2007/1/8,,,,,8.0,11.0,13.0,24.0,39.0
96007.0,2007/1/9,,,,,5.0,8.0,14.0,17.0,28.0
96008.0,2007/1/10,,,,,5.0,30.0,34.0,35.0,38.0
96009.0,2007/1/11,,,,,7.0,15.0,18.0,20.0,37.0
96010.0,2007/1/12,,,,,6.0,21.0,23.0,26.0,33.0
96011.0,2007/1/15,,,,,1.0,13.0,15.0,20.0,25.0
96012.0,2007/1/16,,,,,6.0,13.0,27.0,31.0,32.0
96013.0,2007/1/17,,,,,11.0,25.0,26.0,27.0,30.0
96014.0,2007/1/18,,,,,10.0,15.0,20.0,22.0,28.0
96015.0,2007/1/19,,,,,10.0,11.0,17.0,21.0,38.0
96016.0,2007/1/22,,,,,10.0,13.0,15.0,28.0,39.0
96017.0,2007/1/23,,,,,7.0,17.0,24.0,30.0,39.0
96018.0,2007/1/24,,,,,3.0,4.0,15.0,23.0,34.0
96019.0,2007/1/25,,,,,8.0,10.0,14.0,21.0,24.0
96020.0,2007/1/26,,,,,6.0,8.0,10.0,36.0,37.0
96021.0,2007/1/29,,,,,3.0,8.0,11.0,17.0,38.0
96022.0,2007/1/30,,,,,5.0,10.0,12.0,15.0,27.0
96023.0,2007/1/31,,,,,3.0,4.0,15.0,29.0,34.0
96024.0,2007/2/1,,,,,13.0,18.0,25.0,26.0,36.0
96025.0,2007/2/2,,,,,6.0,11.0,12.0,15.0,35.0
96026.0,2007/2/5,,,,,3.0,16.0,19.0,20.0,31.0
96027.0,2007/2/6,,,,,2.0,13.0,14.0,29.0,39.0
96028.0,2007/2/7,,,,,7.0,11.0,23.0,32.0,35.0
96029.0,2007/2/8,,,,,5.0,10.0,31.0,37.0,39.0
96030.0,2007/2/9,,,,,7.0,16.0,20.0,25.0,27.0
96031.0,2007/2/12,,,,,13.0,15.0,16.0,23.0,34.0
96032.0,2007/2/13,,,,,2.0,22.0,28.0,29.0,34.0
96033.0,2007/2/14,,,,,1.0,15.0,20.0,23.0,28.0
96034.0,2007/2/15,,,,,6.0,24.0,27.0,28.0,33.0
96035.0,2007/2/16,,,,,24.0,28.0,29.0,32.0,37.0
96036.0,2007/2/19,,,,,9.0,12.0,24.0,34.0,37.0
96037.0,2007/2/20,,,,,4.0,6.0,17.0,31.0,36.0
96038.0,2007/2/21,,,,,8.0,18.0,20.0,32.0,34.0
96039.0,2007/2/22,,,,,9.0,17.0,20.0,21.0,37.0
